StrainID,ShortStrainCode,RRNATaxonomy,StrainIdentifierValue,StrainNameAlt,RCAMCollectionID
"716","IB2016P334-2","Streptomyces sp.","Streptomyces sp. IB2016P334-2","Streptomyces sp. IB2016P334-2","-"
"717","IB2016P334-3","Streptomyces sp.","Streptomyces sp. IB2016P334-3","Streptomyces sp. IB2016P334-3","-"
"718","IB2016P335-1","","IB2016P335-1","IB2016P335-1","-"
"719","IB2016P336-1","","IB2016P336-1","IB2016P336-1","-"
"720","IB2016P336-2","","IB2016P336-2","IB2016P336-2","-"
"721","IB2016P337-1","","IB2016P337-1","IB2016P337-1","-"
"722","IB2016P339-1","","IB2016P339-1","IB2016P339-1","-"
"723","IB2016P345-1","","IB2016P345-1","IB2016P345-1","-"
"724","IB2016P346-1","","IB2016P346-1","IB2016P346-1","-"
"725","IB2016P347-1HS","","IB2016P347-1HS","IB2016P347-1HS","-"
"726","IB2016P348-1HS","","IB2016P348-1HS","IB2016P348-1HS","-"
"727","IB2016P349-1","","IB2016P349-1","IB2016P349-1","-"
"728","IB2016P349-2","","IB2016P349-2","IB2016P349-2","-"
"729","IB2016P350-1","","IB2016P350-1","IB2016P350-1","-"
"730","IB2016P350-1HS","","IB2016P350-1HS","IB2016P350-1HS","-"
"731","IB2016P351-1HS","","IB2016P351-1HS","IB2016P351-1HS","-"
"732","IB2016P353-1","","IB2016P353-1","IB2016P353-1","-"
"733","IB2016P353-2","","IB2016P353-2","IB2016P353-2","-"
"734","IB2016P353-3","","IB2016P353-3","IB2016P353-3","-"
"735","IB2018P428-4","","IB2018P428-4","IB2018P428-4",""
"736","IB2018P431-3","","IB2018P431-3","IB2018P431-3",""
"737","IB2018P428-5","","IB2018P428-5","IB2018P428-5",""
"738","IB2018P413-1","","IB2018P413-1","IB2018P413-1",""
"739","IB2018P410-1","","IB2018P410-1","IB2018P410-1",""
"740","IB2018P422-1","","IB2018P422-1","IB2018P422-1",""
"741","IB2018P426-1","","IB2018P426-1","IB2018P426-1",""
"742","IB2018P428-9","","IB2018P428-9","IB2018P428-9",""
"743","IB2018P427-3","","IB2018P427-3","IB2018P427-3",""
"744","IB2018P412-1","","IB2018P412-1","IB2018P412-1",""
"745","IB2018P353-8","","IB2016P353-8","IB2016P353-8",""
"746","IB2018P409-1","","IB2018P409-1","IB2018P409-1",""
"747","IB2016P331-2","","IB2016P331-2","IB2016P331-2",""
"748","IB2018P333-4","","IB2018P333-4","IB2018P333-4",""
"749","IB2018P418-1","","IB2018P418-1","IB2018P418-1",""
"750","IB2018P431-8","","IB2018P431-8","IB2018P431-8",""
"751","IB2018P330-4","","IB2018P330-4","IB2018P330-4",""
"752","IB2018P431-6","","IB2018P431-6","IB2018P431-6",""
"753","IB2018P431-4","","IB2018P431-4","IB2018P431-4",""
"754","IB2018P433-1","","IB2018P433-1","IB2018P433-1",""
"755","IB2018P431-1","","IB2018P431-1","IB2018P431-1",""
"756","IB2018P431-7","","IB2018P431-7","IB2018P431-7",""
"757","IB2019K3-1","","IB2019K3-1","IB2019K3-1",""
"758","IB2019K3-2","","IB2019K3-2","IB2019K3-2",""
"759","IB2019K3-3","","IB2019K3-3","IB2019K3-3",""
"760","IB2018P432-1","","IB2018P432-1","IB2018P432-1",""
"761","IB2018P426-4","","IB2018P426-4","IB2018P426-4",""
"762","IB2018P426-2","","IB2018P426-2","IB2018P426-2",""
"763","IB2018P426-3","","IB2018P426-3","IB2018P426-3",""
